Genome,Genome ID,Accession,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
Hepatitis B virus strain 418-3/gA,10407.12403,MW999487,fig|10407.124033.peg.3,,,PATRIC.10407.124033.MW999487.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-5/gA,10407.12403,MW999488,fig|10407.124034.peg.3,,,PATRIC.10407.124034.MW999488.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-14/gA,10407.12404,MW999493,fig|10407.124035.peg.3,,,PATRIC.10407.124035.MW999493.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-8/gA,10407.12404,MW999489,fig|10407.124036.peg.3,,,PATRIC.10407.124036.MW999489.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-10/gA,10407.12404,MW999490,fig|10407.124037.peg.3,,,PATRIC.10407.124037.MW999490.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-13/gA,10407.12404,MW999492,fig|10407.124038.peg.3,,,PATRIC.10407.124038.MW999492.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-12/gA,10407.12404,MW999491,fig|10407.124039.peg.3,,,PATRIC.10407.124039.MW999491.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-17/gA,10407.12404,MW999495,fig|10407.124040.peg.3,,,PATRIC.10407.124040.MW999495.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-18/gA,10407.12404,MW999496,fig|10407.124041.peg.3,,,PATRIC.10407.124041.MW999496.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-16/gA,10407.12404,MW999494,fig|10407.124042.peg.3,,,PATRIC.10407.124042.MW999494.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-37/gA,10407.12404,MW999501,fig|10407.124043.peg.3,,,PATRIC.10407.124043.MW999501.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-27/gA,10407.12404,MW999500,fig|10407.124044.peg.3,,,PATRIC.10407.124044.MW999500.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-25/gA,10407.12405,MW999498,fig|10407.124045.peg.3,,,PATRIC.10407.124045.MW999498.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-40/gA,10407.12405,MW999502,fig|10407.124046.peg.3,,,PATRIC.10407.124046.MW999502.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-23/gA,10407.12405,MW999497,fig|10407.124047.peg.3,,,PATRIC.10407.124047.MW999497.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-26/gA,10407.12405,MW999499,fig|10407.124048.peg.3,,,PATRIC.10407.124048.MW999499.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-47/gA,10407.12405,MW999504,fig|10407.124049.peg.3,,,PATRIC.10407.124049.MW999504.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-41/gA,10407.12405,MW999503,fig|10407.124050.peg.3,,,PATRIC.10407.124050.MW999503.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-52/gA,10407.12405,MW999507,fig|10407.124051.peg.3,,,PATRIC.10407.124051.MW999507.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-48/gA,10407.12405,MW999505,fig|10407.124052.peg.3,,,PATRIC.10407.124052.MW999505.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-49/gA,10407.12405,MW999506,fig|10407.124053.peg.3,,,PATRIC.10407.124053.MW999506.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-54/gA,10407.12405,MW999509,fig|10407.124054.peg.3,,,PATRIC.10407.124054.MW999509.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-53/gA,10407.12406,MW999508,fig|10407.124055.peg.3,,,PATRIC.10407.124055.MW999508.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-59/gA,10407.12406,MW999512,fig|10407.124056.peg.3,,,PATRIC.10407.124056.MW999512.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1/S2,pre S1/S2 protein,
Hepatitis B virus strain 418-56/gA,10407.12406,MW999510,fig|10407.124057.peg.3,,,PATRIC.10407.124057.MW999510.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-72/gA,10407.12406,MW999514,fig|10407.124058.peg.3,,,PATRIC.10407.124058.MW999514.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-69/gA,10407.12406,MW999513,fig|10407.124059.peg.3,,,PATRIC.10407.124059.MW999513.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-57/gA,10407.12406,MW999511,fig|10407.124060.peg.3,,,PATRIC.10407.124060.MW999511.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-73/gA,10407.12406,MW999515,fig|10407.124061.peg.3,,,PATRIC.10407.124061.MW999515.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-74/gA,10407.12406,MW999516,fig|10407.124062.peg.3,,,PATRIC.10407.124062.MW999516.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-79/gA,10407.12406,MW999519,fig|10407.124063.peg.3,,,PATRIC.10407.124063.MW999519.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-78/gA,10407.12406,MW999518,fig|10407.124064.peg.3,,,PATRIC.10407.124064.MW999518.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-77/gA,10407.12407,MW999517,fig|10407.124065.peg.3,,,PATRIC.10407.124065.MW999517.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-87/gA,10407.12407,MW999523,fig|10407.124066.peg.3,,,PATRIC.10407.124066.MW999523.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-81/gA,10407.12407,MW999520,fig|10407.124067.peg.3,,,PATRIC.10407.124067.MW999520.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-89/gA,10407.12407,MW999524,fig|10407.124068.peg.3,,,PATRIC.10407.124068.MW999524.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-84/gA,10407.12407,MW999521,fig|10407.124069.peg.3,,,PATRIC.10407.124069.MW999521.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-90/gA,10407.12407,MW999525,fig|10407.124070.peg.3,,,PATRIC.10407.124070.MW999525.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-86/gA,10407.12407,MW999522,fig|10407.124071.peg.3,,,PATRIC.10407.124071.MW999522.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-98/gA,10407.12407,MW999528,fig|10407.124072.peg.3,,,PATRIC.10407.124072.MW999528.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-93/gA,10407.12407,MW999527,fig|10407.124073.peg.3,,,PATRIC.10407.124073.MW999527.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-103/gA,10407.12407,MW999529,fig|10407.124074.peg.3,,,PATRIC.10407.124074.MW999529.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-105/gA,10407.12408,MW999531,fig|10407.124075.peg.3,,,PATRIC.10407.124075.MW999531.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-104/gA,10407.12408,MW999530,fig|10407.124076.peg.3,,,PATRIC.10407.124076.MW999530.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-92/gA,10407.12408,MW999526,fig|10407.124077.peg.3,,,PATRIC.10407.124077.MW999526.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-113/gA,10407.12408,MW999536,fig|10407.124078.peg.3,,,PATRIC.10407.124078.MW999536.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-111/gA,10407.12408,MW999535,fig|10407.124079.peg.3,,,PATRIC.10407.124079.MW999535.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-106/gA,10407.12408,MW999532,fig|10407.124080.peg.3,,,PATRIC.10407.124080.MW999532.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-6/gA,10407.12408,MW999538,fig|10407.124081.peg.3,,,PATRIC.10407.124081.MW999538.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-107/gA,10407.12408,MW999533,fig|10407.124082.peg.3,,,PATRIC.10407.124082.MW999533.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-8/gA,10407.12408,MW999539,fig|10407.124083.peg.3,,,PATRIC.10407.124083.MW999539.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-110/gA,10407.12408,MW999534,fig|10407.124084.peg.3,,,PATRIC.10407.124084.MW999534.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-1/gA,10407.12409,MW999537,fig|10407.124085.peg.3,,,PATRIC.10407.124085.MW999537.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-26/gA,10407.12409,MW999543,fig|10407.124086.peg.3,,,PATRIC.10407.124086.MW999543.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-10/gA,10407.12409,MW999540,fig|10407.124087.peg.3,,,PATRIC.10407.124087.MW999540.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-12/gA,10407.12409,MW999541,fig|10407.124088.peg.3,,,PATRIC.10407.124088.MW999541.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-27/gA,10407.12409,MW999544,fig|10407.124089.peg.3,,,PATRIC.10407.124089.MW999544.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-13/gA,10407.12409,MW999542,fig|10407.124090.peg.3,,,PATRIC.10407.124090.MW999542.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-40/gA,10407.12409,MW999547,fig|10407.124091.peg.3,,,PATRIC.10407.124091.MW999547.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-41/gA,10407.12409,MW999548,fig|10407.124092.peg.3,,,PATRIC.10407.124092.MW999548.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-36/gA,10407.12409,MW999545,fig|10407.124093.peg.3,,,PATRIC.10407.124093.MW999545.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-42/gA,10407.12409,MW999549,fig|10407.124094.peg.3,,,PATRIC.10407.124094.MW999549.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-43/gA,10407.1241,MW999550,fig|10407.124095.peg.3,,,PATRIC.10407.124095.MW999550.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-39/gA,10407.1241,MW999546,fig|10407.124096.peg.3,,,PATRIC.10407.124096.MW999546.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-50/gA,10407.1241,MW999555,fig|10407.124097.peg.3,,,PATRIC.10407.124097.MW999555.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-46/gA,10407.1241,MW999552,fig|10407.124098.peg.3,,,PATRIC.10407.124098.MW999552.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-45/gA,10407.1241,MW999551,fig|10407.124099.peg.3,,,PATRIC.10407.124099.MW999551.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-54/gA,10407.1241,MW999557,fig|10407.124100.peg.3,,,PATRIC.10407.124100.MW999557.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-52/gA,10407.1241,MW999556,fig|10407.124101.peg.3,,,PATRIC.10407.124101.MW999556.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-48/gA,10407.1241,MW999553,fig|10407.124102.peg.3,,,PATRIC.10407.124102.MW999553.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-49/gA,10407.1241,MW999554,fig|10407.124103.peg.3,,,PATRIC.10407.124103.MW999554.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-63/gA,10407.1241,MW999561,fig|10407.124104.peg.3,,,PATRIC.10407.124104.MW999561.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-57/gA,10407.12411,MW999558,fig|10407.124105.peg.3,,,PATRIC.10407.124105.MW999558.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-65/gA,10407.12411,MW999563,fig|10407.124106.peg.3,,,PATRIC.10407.124106.MW999563.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-59/gA,10407.12411,MW999559,fig|10407.124107.peg.3,,,PATRIC.10407.124107.MW999559.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-64/gA,10407.12411,MW999562,fig|10407.124108.peg.3,,,PATRIC.10407.124108.MW999562.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-60/gA,10407.12411,MW999560,fig|10407.124109.peg.3,,,PATRIC.10407.124109.MW999560.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-70/gA,10407.12411,MW999565,fig|10407.124110.peg.3,,,PATRIC.10407.124110.MW999565.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-72/gA,10407.12411,MW999567,fig|10407.124111.peg.3,,,PATRIC.10407.124111.MW999567.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-66/gA,10407.12411,MW999564,fig|10407.124112.peg.3,,,PATRIC.10407.124112.MW999564.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-85/gA,10407.12411,MW999569,fig|10407.124113.peg.3,,,PATRIC.10407.124113.MW999569.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-78/gA,10407.12411,MW999568,fig|10407.124114.peg.3,,,PATRIC.10407.124114.MW999568.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-71/gA,10407.12412,MW999566,fig|10407.124115.peg.3,,,PATRIC.10407.124115.MW999566.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-98/gA,10407.12412,MW999574,fig|10407.124116.peg.3,,,PATRIC.10407.124116.MW999574.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-90/gA,10407.12412,MW999570,fig|10407.124117.peg.3,,,PATRIC.10407.124117.MW999570.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-95/gA,10407.12412,MW999572,fig|10407.124118.peg.3,,,PATRIC.10407.124118.MW999572.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-94/gA,10407.12412,MW999571,fig|10407.124119.peg.3,,,PATRIC.10407.124119.MW999571.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-99/gA,10407.12412,MW999575,fig|10407.124120.peg.3,,,PATRIC.10407.124120.MW999575.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-100/gA,10407.12412,MW999576,fig|10407.124121.peg.3,,,PATRIC.10407.124121.MW999576.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-96/gA,10407.12412,MW999573,fig|10407.124122.peg.3,,,PATRIC.10407.124122.MW999573.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-108/gA,10407.12412,MW999581,fig|10407.124123.peg.3,,,PATRIC.10407.124123.MW999581.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-106/gA,10407.12412,MW999580,fig|10407.124124.peg.3,,,PATRIC.10407.124124.MW999580.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-111/gA,10407.12413,MW999582,fig|10407.124125.peg.3,,,PATRIC.10407.124125.MW999582.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-101/gA,10407.12413,MW999577,fig|10407.124126.peg.3,,,PATRIC.10407.124126.MW999577.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-103/gA,10407.12413,MW999578,fig|10407.124127.peg.3,,,PATRIC.10407.124127.MW999578.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-115/gA,10407.12413,MW999584,fig|10407.124128.peg.3,,,PATRIC.10407.124128.MW999584.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-112/gA,10407.12413,MW999583,fig|10407.124129.peg.3,,,PATRIC.10407.124129.MW999583.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-104/gA,10407.12413,MW999579,fig|10407.124130.peg.3,,,PATRIC.10407.124130.MW999579.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-121/gA,10407.12413,MW999588,fig|10407.124131.peg.3,,,PATRIC.10407.124131.MW999588.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-116/gA,10407.12413,MW999585,fig|10407.124132.peg.3,,,PATRIC.10407.124132.MW999585.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-123/gA,10407.12413,MW999590,fig|10407.124133.peg.3,,,PATRIC.10407.124133.MW999590.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-119/gA,10407.12413,MW999586,fig|10407.124134.peg.3,,,PATRIC.10407.124134.MW999586.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-122/gA,10407.12414,MW999589,fig|10407.124135.peg.3,,,PATRIC.10407.124135.MW999589.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-120/gA,10407.12414,MW999587,fig|10407.124136.peg.3,,,PATRIC.10407.124136.MW999587.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-130/gA,10407.12414,MW999593,fig|10407.124137.peg.3,,,PATRIC.10407.124137.MW999593.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-132/gA,10407.12414,MW999594,fig|10407.124138.peg.3,,,PATRIC.10407.124138.MW999594.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-127/gA,10407.12414,MW999591,fig|10407.124139.peg.3,,,PATRIC.10407.124139.MW999591.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-136/gA,10407.12414,MW999596,fig|10407.124140.peg.3,,,PATRIC.10407.124140.MW999596.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-128/gA,10407.12414,MW999592,fig|10407.124141.peg.3,,,PATRIC.10407.124141.MW999592.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-135/gA,10407.12414,MW999595,fig|10407.124142.peg.3,,,PATRIC.10407.124142.MW999595.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-140/gA,10407.12414,MW999597,fig|10407.124143.peg.3,,,PATRIC.10407.124143.MW999597.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 420-1/gA,10407.12414,MW999599,fig|10407.124144.peg.3,,,PATRIC.10407.124144.MW999599.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 420-7/gA,10407.12415,MW999600,fig|10407.124145.peg.3,,,PATRIC.10407.124145.MW999600.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-83/gB,10407.12415,MW999605,fig|10407.124146.peg.3,,,PATRIC.10407.124146.MW999605.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-96/gB,10407.12415,MW999606,fig|10407.124147.peg.3,,,PATRIC.10407.124147.MW999606.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-39/gB,10407.12415,MW999604,fig|10407.124148.peg.3,,,PATRIC.10407.124148.MW999604.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 417-112/gB,10407.12415,MW999602,fig|10407.124149.peg.3,,,PATRIC.10407.124149.MW999602.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 418-7/gB,10407.12415,MW999603,fig|10407.124150.peg.3,,,PATRIC.10407.124150.MW999603.CDS.933.2135.fwd,PATRIC,CDS,933,2135,1203,+,,,,,400,pre S1,pre S1 protein,
Hepatitis B virus strain 419-141/gA,10407.12415,MW999598,fig|10407.124151.peg.3,,,PATRIC.10407.124151.MW999598.CDS.939.2141.fwd,PATRIC,CDS,939,2141,1203,+,,,,,400,pre S1,pre S1 protein,
