Accession,Organism_Name,Submitters,Release_Date,Isolate,Species,Length,Protein,Geo_Location,USA,Host,Isolation_Source,Collection_Date
QGD14466.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,48W-CY56-7,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,20-01-2005
QGD14467.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,48W-CY56-8,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,20-01-2005
QGD14468.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,48W-CY56-11,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,20-01-2005
QGD14469.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,48W-CY56-12,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,20-01-2005
QGD14470.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,48W-CY56-14,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,20-01-2005
QGD14471.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY58-1,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14472.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY58-2,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14473.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY58-3,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14474.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY58-4,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14475.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY58-5,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14476.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY58-6,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14477.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY58-7,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14478.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY58-8,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14479.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY58-9,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14480.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY58-10,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14481.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY58-11,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14482.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY58-12,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14483.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY58-13,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14484.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY58-14,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14485.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY58-15,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14486.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY58-16,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14487.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY58-1,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
QGD14488.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY58-3,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
QGD14489.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY58-4,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
QGD14490.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY58-5,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
QGD14491.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY58-7,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
QGD14492.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY58-8,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
QGD14493.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY58-9,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
QGD14494.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY58-10,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
QGD14495.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY58-12,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
QGD14496.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY58-14,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
QGD14497.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY58-15,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
QGD14498.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,48W-CY58-1,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,20-01-2005
QGD14499.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,48W-CY58-2,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,20-01-2005
QGD14500.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,48W-CY58-3,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,20-01-2005
QGD14501.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,48W-CY58-4,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,20-01-2005
QGD14502.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,48W-CY58-5,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,20-01-2005
QGD14503.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,48W-CY58-6,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,20-01-2005
QGD14504.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,48W-CY58-8,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,20-01-2005
QGD14505.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,48W-CY58-9,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,20-01-2005
QGD14506.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,48W-CY58-10,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,20-01-2005
QGD14508.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,48W-CY58-12,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,20-01-2005
QGD14509.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,48W-CY58-13,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,20-01-2005
QGD14510.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,48W-CY58-14,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,20-01-2005
QGD14511.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,48W-CY58-15,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,20-01-2005
QGD14512.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,48W-CY58-16,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,20-01-2005
QGD14513.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY63-1,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14514.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY63-2,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14515.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY63-3,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14516.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY63-4,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14517.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY63-5,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14518.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY63-6,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14519.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY63-7,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14520.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY63-9,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14521.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY63-10,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14522.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY63-11,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14523.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY63-12,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14524.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY63-13,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14525.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY63-14,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14526.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY63-15,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14527.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY63-16,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14528.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY63-2,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
QGD14529.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY63-6,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
QGD14530.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY63-7,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
QGD14531.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY63-8,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
QGD14532.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY63-9,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
QGD14533.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY63-10,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
QGD14534.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY63-12,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
QGD14535.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY63-14,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
QGD14536.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY63-15,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
QGD14537.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY63-16,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
QGD14538.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,48W-CY63-2,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,20-01-2005
QGD14539.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,48W-CY63-3,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,20-01-2005
QGD14540.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,48W-CY63-4,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,20-01-2005
QGD14541.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,48W-CY63-6,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,20-01-2005
QGD14542.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,48W-CY63-9,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,20-01-2005
QGD14543.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,48W-CY63-10,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,20-01-2005
QGD14544.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,48W-CY63-13,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,20-01-2005
QGD14545.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,48W-CY63-14,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,20-01-2005
QGD14546.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,48W-CY63-16,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,20-01-2005
QGD14547.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY92-1,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14548.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY92-2,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14549.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY92-3,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14550.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY92-4,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14551.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY92-5,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14552.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY92-8,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14553.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY92-9,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14554.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY92-10,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14555.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY92-11,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14556.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY92-12,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14557.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY92-13,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14558.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY92-16,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14559.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY92-1,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
QGD14560.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY92-2,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
QGD14561.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY92-3,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
QGD14562.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY92-5,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
QGD14563.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY92-8,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
QGD14564.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY92-9,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
QGD14565.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY92-10,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
QGD14566.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY92-11,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
QGD14567.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY92-12,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
QGD14568.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY92-13,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
QGD14569.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY92-14,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
QGD14570.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY92-15,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
QGD14571.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,48W-CY92-5,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,20-01-2005
QGD14572.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,48W-CY92-14,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,20-01-2005
QGD14573.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY94-2,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14574.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY94-3,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14575.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY94-4,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14576.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY94-6,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14577.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY94-7,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14578.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY94-8,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14579.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY94-9,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14580.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY94-10,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14582.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY94-12,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14583.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY94-13,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14584.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY94-14,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14585.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY94-16,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14586.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY94-1,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14587.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY94-3,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14588.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY94-5,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14589.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY94-8,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14590.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY94-10,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14591.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY94-11,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14592.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,48W-CY94-17(1-949),Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,20-01-2005
QGD14593.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,48W-CY94-27(1-944),Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,20-01-2005
QGD14594.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,48W-CY94-30(1-949),Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,20-01-2005
QGD14595.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY96-2,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14596.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY96-5,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14597.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY96-7,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14598.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY96-8,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14599.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY96-10,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14600.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY96-11,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14601.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY96-12,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14602.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY96-14,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14603.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY96-15,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14604.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY96-16,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14606.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY96-4,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
QGD14607.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY96-6,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
QGD14608.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY96-9,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
QGD14609.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY96-10,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
QGD14610.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY96-14,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
QGD14611.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,48W-CY96-2,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,20-01-2005
QGD14612.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,48W-CY96-16,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,20-01-2005
QGD14613.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,148W-CY96-5,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,20-01-2005
QGD14614.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,148W-CY96-10,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,20-01-2005
QGD14615.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY232-1,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14616.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY232-2,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14617.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY232-3,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14618.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY232-4,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14619.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY232-5,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14620.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY232-7,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14621.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY232-8,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14622.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY232-9,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14623.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY232-10,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14624.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY232-11,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14625.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY232-13,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14626.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY232-14,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14627.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY232-15,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14628.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,OW-CY232-16,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,26-10-2004
QGD14629.1,Hepatitis B virus,"Tu,Z., Huang,A.",13-11-2020,12W-CY232-1,Hepatitis B virus,183,core protein,China,,Homo sapiens,blood,28-05-2004
